age,statcan_5,5yr_increments,gtamodel,gtamodel_3
0,0-17,0-4,0-4,0-17
1,0-17,0-4,0-4,0-17
2,0-17,0-4,0-4,0-17
3,0-17,0-4,0-4,0-17
4,0-17,0-4,0-4,0-17
5,0-17,5-9,5-9,0-17
6,0-17,5-9,5-9,0-17
7,0-17,5-9,5-9,0-17
8,0-17,5-9,5-9,0-17
9,0-17,5-9,5-9,0-17
10,0-17,10-14,10-14,0-17
11,0-17,10-14,10-14,0-17
12,0-17,10-14,10-14,0-17
13,0-17,10-14,10-14,0-17
14,0-17,10-14,10-14,0-17
15,0-17,15-19,15-16,0-17
16,0-17,15-19,15-16,0-17
17,0-17,15-19,17-19,0-17
18,18-34,15-19,17-19,18-64
19,18-34,15-19,17-19,18-64
20,18-34,20-24,20-24,18-64
21,18-34,20-24,20-24,18-64
22,18-34,20-24,20-24,18-64
23,18-34,20-24,20-24,18-64
24,18-34,20-24,20-24,18-64
25,18-34,25-29,25-29,18-64
26,18-34,25-29,25-29,18-64
27,18-34,25-29,25-29,18-64
28,18-34,25-29,25-29,18-64
29,18-34,25-29,25-29,18-64
30,18-34,30-34,30-34,18-64
31,18-34,30-34,30-34,18-64
32,18-34,30-34,30-34,18-64
33,18-34,30-34,30-34,18-64
34,18-34,30-34,30-34,18-64
35,35-44,35-39,35-39,18-64
36,35-44,35-39,35-39,18-64
37,35-44,35-39,35-39,18-64
38,35-44,35-39,35-39,18-64
39,35-44,35-39,35-39,18-64
40,35-44,40-44,40-44,18-64
41,35-44,40-44,40-44,18-64
42,35-44,40-44,40-44,18-64
43,35-44,40-44,40-44,18-64
44,35-44,40-44,40-44,18-64
45,45-64,45-49,45-54,18-64
46,45-64,45-49,45-54,18-64
47,45-64,45-49,45-54,18-64
48,45-64,45-49,45-54,18-64
49,45-64,45-49,45-54,18-64
50,45-64,50-54,45-54,18-64
51,45-64,50-54,45-54,18-64
52,45-64,50-54,45-54,18-64
53,45-64,50-54,45-54,18-64
54,45-64,50-54,45-54,18-64
55,45-64,55-59,55-64,18-64
56,45-64,55-59,55-64,18-64
57,45-64,55-59,55-64,18-64
58,45-64,55-59,55-64,18-64
59,45-64,55-59,55-64,18-64
60,45-64,60-64,55-64,18-64
61,45-64,60-64,55-64,18-64
62,45-64,60-64,55-64,18-64
63,45-64,60-64,55-64,18-64
64,45-64,60-64,55-64,18-64
65,65+,65-69,65-79,65+
66,65+,65-69,65-79,65+
67,65+,65-69,65-79,65+
68,65+,65-69,65-79,65+
69,65+,65-69,65-79,65+
70,65+,70-74,65-79,65+
71,65+,70-74,65-79,65+
72,65+,70-74,65-79,65+
73,65+,70-74,65-79,65+
74,65+,70-74,65-79,65+
75,65+,75-79,65-79,65+
76,65+,75-79,65-79,65+
77,65+,75-79,65-79,65+
78,65+,75-79,65-79,65+
79,65+,75-79,65-79,65+
80,65+,80-84,80+,65+
81,65+,80-84,80+,65+
82,65+,80-84,80+,65+
83,65+,80-84,80+,65+
84,65+,80-84,80+,65+
85,65+,85-89,80+,65+
86,65+,85-89,80+,65+
87,65+,85-89,80+,65+
88,65+,85-89,80+,65+
89,65+,85-89,80+,65+
90,65+,90-94,80+,65+
91,65+,90-94,80+,65+
92,65+,90-94,80+,65+
93,65+,90-94,80+,65+
94,65+,90-94,80+,65+
95,65+,95-99,80+,65+
96,65+,95-99,80+,65+
97,65+,95-99,80+,65+
98,65+,95-99,80+,65+
99,65+,95-99,80+,65+
100,65+,100+,80+,65+
101,65+,100+,80+,65+
102,65+,100+,80+,65+
103,65+,100+,80+,65+
104,65+,100+,80+,65+
105,65+,100+,80+,65+
106,65+,100+,80+,65+
107,65+,100+,80+,65+
108,65+,100+,80+,65+
109,65+,100+,80+,65+
110,65+,100+,80+,65+
111,65+,100+,80+,65+
112,65+,100+,80+,65+
113,65+,100+,80+,65+
114,65+,100+,80+,65+
115,65+,100+,80+,65+
116,65+,100+,80+,65+
117,65+,100+,80+,65+
118,65+,100+,80+,65+
119,65+,100+,80+,65+
120,65+,100+,80+,65+
